Ticker,FirstMention,InitialPrice,CurrentPrice,ChangePct
BABA,2026-02-02 12:49:49,168.39,127.21,-24.46
PESI,2026-01-19 02:38:48,13.71,10.24,-25.31
PATH,2026-01-01 20:50:48,15.88,11.67,-26.51
LEU,2026-01-29 02:50:13,301.5,186.69,-38.08
SYAAF,2026-01-26 23:14:41,0.226,0.094,-58.41
SIVE,2026-03-16 16:54:18,,,
SOI,2026-03-11 23:18:28,,,
IQE,2026-01-19 02:38:48,,,
RPI,2026-02-16 23:12:37,,,
LPK,2026-04-03 11:21:21,,,
XFAB,2026-05-27 15:29:00,,,
ALRIB,2026-04-09 01:21:19,,,
APPL,2026-01-14 16:23:19,,,
VNP,2026-01-19 02:38:48,,,
QLCM,2026-02-07 18:53:42,,,
TOWA,2026-04-30 05:40:20,,,
AIXA,2026-03-20 16:56:10,,,
BESI,2026-01-25 04:46:07,,,
KOSPI,2026-02-27 08:51:39,,,
ASE,2026-04-06 01:24:11,,,
LPKK,2026-04-21 12:43:57,,,
LPKF,2026-04-29 02:44:53,,,
KLA,2026-05-01 14:02:46,,,
SMHN,2026-03-17 20:38:10,,,
XBOT,2026-05-13 07:00:30,,,
SLVC,2026-03-24 10:09:07,,,
TPU,2026-03-18 09:59:32,,,
SMHSF,2026-05-10 15:30:58,,,
SYSS,2026-01-16 15:57:59,,,
SYR,2026-03-23 15:37:02,,,
CATL,2026-05-13 07:00:30,,,
EDP,2026-02-07 15:12:56,,,
DOWA,2026-01-03 05:27:07,,,
BLG,2026-03-24 10:09:07,,,
PDY,2026-05-13 07:00:30,,,
AMSL,2026-04-30 09:00:27,,,
ACUVI,2026-05-13 07:00:30,,,
ABB,2026-05-13 07:00:30,,,
ARA,2026-03-23 15:37:02,,,
AXT,2026-01-12 18:55:59,,,
BITF,2025-11-18 00:12:21,,,
AYAR,2026-03-17 08:03:37,,,
MVL,2026-05-03 15:01:59,,,
MKA,2026-05-13 07:00:30,,,
LG,2026-03-23 09:52:58,,,
ONET,2026-03-22 20:13:28,,,
NTU,2026-03-23 15:37:02,,,
NIDGY,2026-05-10 15:30:58,,,
LCRX,2026-05-01 14:02:46,,,
FOCI,2026-03-20 16:56:10,,,
FIT,2026-03-17 20:38:10,,,
HALEU,2026-01-19 02:38:48,,,
INFN,2026-03-24 10:09:07,,,
ILU,2026-03-23 15:37:02,,,
